	Mean Flow	Coeff Var	Tqmean	R-B Index	Station
1	21.512288786482333	1.1848008746861927	0.9854070660522274	0.0	Wildcat
2	18.648809523809526	1.7287010300944572	0.9821428571428571	0.0	Wildcat
3	27.51407000686342	1.3364940145881148	0.9883321894303363	0.0	Wildcat
4	33.40591966173361	1.5730845388181556	0.985200845665962	0.0	Wildcat
5	1.0	0.0	1.0	0.0	Wildcat
6	109.70634920634922	1.0784479024251152	0.9894179894179894	0.0	Wildcat
7	64.39229968782519	2.4885386046575446	0.9802289281997919	0.0	Wildcat
8	14.645161290322582	1.6145637991314807	0.9771505376344086	0.0	Wildcat
9	12.477777777777778	1.9034098706599605	0.9511111111111111	0.0	Wildcat
10	49.086021505376344	4.5414061769441165	0.9623655913978495	0.0	Wildcat
11	27.922988505747124	4.544690853219186	0.9735632183908046	0.0	Wildcat
12	25.008064516129032	1.0364364340705077	0.9838709677419355	0.0	Wildcat
1	1.0	0.0	1.0	0.0	Tippe
2	1.0	0.0	1.0	0.0	Tippe
3	1.0	0.0	1.0	0.0	Tippe
4	1.0	0.0	1.0	0.0	Tippe
5	1.0	0.0	1.0	0.0	Tippe
6	1.0	0.0	1.0	0.0	Tippe
7	1.0	0.0	1.0	0.0	Tippe
8	1.0	0.0	1.0	0.0	Tippe
9	1.0	0.0	1.0	0.0	Tippe
10	1.0	0.0	1.0	0.0	Tippe
11	1.0	0.0	1.0	0.0	Tippe
12	1.0	0.0	1.0	0.0	Tippe
